soilTemperature,volumetric water content,electrical conductivity,Salinity,Total Dissolved Solids,dielectric constant,timestamp,datetime
23.07,100,461,253,230,81.87,1685729485,2023-06-02 12:11:25
23.07,100,461,253,230,81.87,1685729488,2023-06-02 12:11:28
23.07,100,461,253,230,81.87,1685729491,2023-06-02 12:11:31
23.07,100,461,253,230,81.87,1685729494,2023-06-02 12:11:34
23.07,100,461,253,230,81.87,1685729497,2023-06-02 12:11:37
23.07,100,461,253,230,81.87,1685729500,2023-06-02 12:11:40
23.07,100,461,253,230,81.87,1685729503,2023-06-02 12:11:43
23.07,100,461,253,230,81.87,1685729506,2023-06-02 12:11:46
23.07,100,461,253,230,81.87,1685729509,2023-06-02 12:11:49
23.07,100,461,253,230,81.87,1685729512,2023-06-02 12:11:52
23.07,100,461,253,230,81.87,1685729515,2023-06-02 12:11:55
23.07,100,461,253,230,81.87,1685729518,2023-06-02 12:11:58
23.07,100,461,253,230,81.87,1685729521,2023-06-02 12:12:01
23.07,100,461,253,230,81.87,1685729525,2023-06-02 12:12:05
23.07,100,461,253,230,81.87,1685729528,2023-06-02 12:12:08
23.07,100,461,253,230,81.87,1685729531,2023-06-02 12:12:11
23.07,100,461,253,230,81.87,1685729534,2023-06-02 12:12:14
23.07,100,461,253,230,81.87,1685729537,2023-06-02 12:12:17
23.07,100,461,253,230,81.87,1685729540,2023-06-02 12:12:20
23.07,100,461,253,230,81.87,1685729543,2023-06-02 12:12:23
23.07,100,461,253,230,81.87,1685729546,2023-06-02 12:12:26
23.07,100,461,253,230,81.87,1685729549,2023-06-02 12:12:29
23.07,100,461,253,230,81.87,1685729552,2023-06-02 12:12:32
23.07,100,461,253,230,81.87,1685729555,2023-06-02 12:12:35
23.07,100,461,253,230,81.87,1685729558,2023-06-02 12:12:38
23.07,100,461,253,230,81.87,1685729561,2023-06-02 12:12:41
23.07,100,461,253,230,81.87,1685729564,2023-06-02 12:12:44
23.07,100,461,253,230,81.87,1685729567,2023-06-02 12:12:47
23.07,100,461,253,230,81.87,1685729570,2023-06-02 12:12:50
23.07,100,461,253,230,81.87,1685729573,2023-06-02 12:12:53
23.07,100,461,253,230,81.87,1685729576,2023-06-02 12:12:56
23.07,100,461,253,230,81.87,1685729579,2023-06-02 12:12:59
23.07,100,461,253,230,81.87,1685729582,2023-06-02 12:13:02
23.07,100,461,253,230,81.87,1685729585,2023-06-02 12:13:05
23.07,100,461,253,230,81.87,1685729588,2023-06-02 12:13:08
23.07,100,461,253,230,81.87,1685729591,2023-06-02 12:13:11
23.07,100,461,253,230,81.87,1685729594,2023-06-02 12:13:14
23.07,100,461,253,230,81.87,1685729597,2023-06-02 12:13:17
23.07,100,461,253,230,81.87,1685729600,2023-06-02 12:13:20
23.07,100,461,253,230,81.87,1685729603,2023-06-02 12:13:23
23.07,100,461,253,230,81.87,1685729606,2023-06-02 12:13:26
23.07,100,461,253,230,81.87,1685729609,2023-06-02 12:13:29
23.07,100,461,253,230,81.87,1685729612,2023-06-02 12:13:32
23.07,100,461,253,230,81.87,1685729615,2023-06-02 12:13:35
23.07,100,461,253,230,81.87,1685729618,2023-06-02 12:13:38
23.07,100,461,253,230,81.87,1685729621,2023-06-02 12:13:41
23.07,100,461,253,230,81.87,1685729624,2023-06-02 12:13:44
23.07,100,461,253,230,81.87,1685729627,2023-06-02 12:13:47
23.07,100,461,253,230,81.87,1685729630,2023-06-02 12:13:50
23.07,100,461,253,230,81.87,1685729633,2023-06-02 12:13:53
23.07,100,461,253,230,81.87,1685729636,2023-06-02 12:13:56
23.07,100,461,253,230,81.87,1685729639,2023-06-02 12:13:59
23.07,100,461,253,230,81.87,1685729642,2023-06-02 12:14:02
23.07,100,461,253,230,81.87,1685729645,2023-06-02 12:14:05
23.07,100,461,253,230,81.87,1685729648,2023-06-02 12:14:08
23.07,100,461,253,230,81.87,1685729651,2023-06-02 12:14:11
23.07,100,461,253,230,81.87,1685729654,2023-06-02 12:14:14
23.07,100,461,253,230,81.87,1685729657,2023-06-02 12:14:17
23.07,100,461,253,230,81.87,1685729660,2023-06-02 12:14:20
23.07,100,461,253,230,81.87,1685729663,2023-06-02 12:14:23
23.07,100,461,253,230,81.87,1685729666,2023-06-02 12:14:26
23.07,100,461,253,230,81.87,1685729669,2023-06-02 12:14:29
23.07,100,461,253,230,81.87,1685729672,2023-06-02 12:14:32
23.07,100,461,253,230,81.87,1685729675,2023-06-02 12:14:35
23.07,100,461,253,230,81.87,1685729678,2023-06-02 12:14:38
23.07,100,461,253,230,81.87,1685729681,2023-06-02 12:14:41
23.07,100,461,253,230,81.87,1685729684,2023-06-02 12:14:44
23.07,100,461,253,230,81.87,1685729687,2023-06-02 12:14:47
23.07,100,461,253,230,81.87,1685729690,2023-06-02 12:14:50
23.07,100,461,253,230,81.87,1685729693,2023-06-02 12:14:53
23.07,100,461,253,230,81.87,1685729696,2023-06-02 12:14:56
23.07,100,461,253,230,81.87,1685729699,2023-06-02 12:14:59
23.07,100,461,253,230,81.87,1685729702,2023-06-02 12:15:02
23.07,100,461,253,230,81.87,1685729705,2023-06-02 12:15:05
23.07,100,461,253,230,81.87,1685729708,2023-06-02 12:15:08
23.07,100,461,253,230,81.87,1685729711,2023-06-02 12:15:11
23.07,100,461,253,230,81.87,1685729714,2023-06-02 12:15:14
23.07,100,461,253,230,81.87,1685729717,2023-06-02 12:15:17
23.07,100,461,253,230,81.87,1685729720,2023-06-02 12:15:20
23.07,100,461,253,230,81.87,1685729723,2023-06-02 12:15:23
23.07,100,461,253,230,81.87,1685729726,2023-06-02 12:15:26
23.07,100,461,253,230,81.87,1685729730,2023-06-02 12:15:30
23.1,100,461,253,230,81.87,1685729733,2023-06-02 12:15:33
23.07,100,461,253,230,81.87,1685729736,2023-06-02 12:15:36
23.07,100,461,253,230,81.87,1685729739,2023-06-02 12:15:39
23.07,100,461,253,230,81.87,1685729742,2023-06-02 12:15:42
23.07,100,461,253,230,81.87,1685729745,2023-06-02 12:15:45
23.07,100,461,253,230,81.87,1685729748,2023-06-02 12:15:48
23.07,100,461,253,230,81.87,1685729751,2023-06-02 12:15:51
23.07,100,461,253,230,81.87,1685729754,2023-06-02 12:15:54
23.07,100,461,253,230,81.87,1685729757,2023-06-02 12:15:57
23.07,100,461,253,230,81.87,1685729760,2023-06-02 12:16:00
23.07,100,461,253,230,81.87,1685729763,2023-06-02 12:16:03
23.1,100,461,253,230,81.87,1685729766,2023-06-02 12:16:06
23.07,100,461,253,230,81.87,1685729769,2023-06-02 12:16:09
23.07,100,461,253,230,81.87,1685729772,2023-06-02 12:16:12
23.07,100,461,253,230,81.87,1685729775,2023-06-02 12:16:15
23.1,100,461,253,230,81.87,1685729778,2023-06-02 12:16:18
23.07,100,461,253,230,81.87,1685729781,2023-06-02 12:16:21
23.07,100,461,253,230,81.87,1685729784,2023-06-02 12:16:24
23.07,100,461,253,230,81.87,1685729787,2023-06-02 12:16:27
23.1,100,461,253,230,81.87,1685729790,2023-06-02 12:16:30
23.07,100,461,253,230,81.87,1685729793,2023-06-02 12:16:33
23.1,100,461,253,230,81.87,1685729796,2023-06-02 12:16:36
23.07,100,461,253,230,81.87,1685729799,2023-06-02 12:16:39
23.1,100,461,253,230,81.87,1685729802,2023-06-02 12:16:42
23.07,100,461,253,230,81.87,1685729805,2023-06-02 12:16:45
23.1,100,461,253,230,81.87,1685729808,2023-06-02 12:16:48
23.1,100,461,253,230,81.87,1685729811,2023-06-02 12:16:51
23.1,100,461,253,230,81.87,1685729814,2023-06-02 12:16:54
23.1,100,461,253,230,81.87,1685729817,2023-06-02 12:16:57
23.1,100,461,253,230,81.87,1685729820,2023-06-02 12:17:00
23.07,100,461,253,230,81.87,1685729823,2023-06-02 12:17:03
23.07,100,461,253,230,81.87,1685729826,2023-06-02 12:17:06
23.07,100,461,253,230,81.87,1685729829,2023-06-02 12:17:09
23.07,100,461,253,230,81.87,1685729832,2023-06-02 12:17:12
23.07,100,461,253,230,81.87,1685729835,2023-06-02 12:17:15
23.07,100,461,253,230,81.87,1685729838,2023-06-02 12:17:18
23.07,100,461,253,230,81.87,1685729841,2023-06-02 12:17:21
23.1,100,461,253,230,81.87,1685729844,2023-06-02 12:17:24
23.1,100,461,253,230,81.87,1685729847,2023-06-02 12:17:27
23.1,100,461,253,230,81.87,1685729850,2023-06-02 12:17:30
23.1,100,461,253,230,81.87,1685729853,2023-06-02 12:17:33
23.1,100,461,253,230,81.87,1685729856,2023-06-02 12:17:36
23.1,100,461,253,230,81.87,1685729859,2023-06-02 12:17:39
23.1,100,461,253,230,81.87,1685729862,2023-06-02 12:17:42
23.1,100,461,253,230,81.87,1685729865,2023-06-02 12:17:45
23.1,100,461,253,230,81.87,1685729868,2023-06-02 12:17:48
23.1,100,461,253,230,81.87,1685729871,2023-06-02 12:17:51
23.1,100,461,253,230,81.87,1685729874,2023-06-02 12:17:54
23.1,100,461,253,230,81.87,1685729877,2023-06-02 12:17:57
23.1,100,461,253,230,81.87,1685729880,2023-06-02 12:18:00
23.1,100,461,253,230,81.87,1685729883,2023-06-02 12:18:03
23.1,100,461,253,230,81.87,1685729886,2023-06-02 12:18:06
23.1,100,461,253,230,81.87,1685729889,2023-06-02 12:18:09
23.1,100,461,253,230,81.87,1685729892,2023-06-02 12:18:12
23.1,100,461,253,230,81.87,1685729895,2023-06-02 12:18:15
23.1,100,461,253,230,81.87,1685729898,2023-06-02 12:18:18
23.1,100,461,253,230,81.87,1685729901,2023-06-02 12:18:21
23.1,100,461,253,230,81.87,1685729904,2023-06-02 12:18:24
23.1,100,461,253,230,81.87,1685729907,2023-06-02 12:18:27
23.1,100,461,253,230,81.87,1685729910,2023-06-02 12:18:30
23.07,100,461,253,230,81.87,1685729913,2023-06-02 12:18:33
23.1,100,461,253,230,81.87,1685729916,2023-06-02 12:18:36
23.1,100,461,253,230,81.87,1685729919,2023-06-02 12:18:39
23.1,100,461,253,230,81.87,1685729922,2023-06-02 12:18:42
23.1,100,461,253,230,81.87,1685729925,2023-06-02 12:18:45
23.1,100,461,253,230,81.87,1685729928,2023-06-02 12:18:48
23.1,100,461,253,230,81.87,1685729931,2023-06-02 12:18:51
23.1,100,461,253,230,81.87,1685729934,2023-06-02 12:18:54
23.1,100,461,253,230,81.87,1685729937,2023-06-02 12:18:57
23.1,100,461,253,230,81.87,1685729940,2023-06-02 12:19:00
23.1,100,461,253,230,81.87,1685729944,2023-06-02 12:19:04
