_id,x,y,site_name,z,local_datetime,timestamp
648a313feb9c75b2402dc415,663718.9518,5884272.594,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc416,663718.9518,5884296.546,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc417,663718.9518,5884320.499,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc411,663718.9518,5884176.783,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc412,663718.9518,5884200.736,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc413,663718.9518,5884224.688,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc414,663718.9518,5884248.641,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc40c,663718.9518,5884057.019,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc40d,663718.9518,5884080.972,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc40e,663718.9518,5884104.925,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc40f,663718.9518,5884128.877,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc410,663718.9518,5884152.83,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc407,663718.9518,5883937.256,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc408,663718.9518,5883961.208,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc409,663718.9518,5883985.161,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc40a,663718.9518,5884009.114,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc40b,663718.9518,5884033.067,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc402,663718.9518,5883817.492,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc403,663718.9518,5883841.445,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc404,663718.9518,5883865.398,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc405,663718.9518,5883889.35,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc406,663718.9518,5883913.303,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3fd,663718.9518,5883697.729,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3fe,663718.9518,5883721.681,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3ff,663718.9518,5883745.634,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc400,663718.9518,5883769.587,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc401,663718.9518,5883793.539,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3f9,663718.9518,5883601.918,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3fa,663718.9518,5883625.87,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3fb,663718.9518,5883649.823,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3fc,663718.9518,5883673.776,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3f4,663718.9518,5883482.154,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3f5,663718.9518,5883506.107,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3f6,663718.9518,5883530.06,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3f7,663718.9518,5883554.012,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3f8,663718.9518,5883577.965,Meota,542,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3f0,663718.9518,5883386.343,Meota,541,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3f1,663718.9518,5883410.296,Meota,541,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3f2,663718.9518,5883434.249,Meota,541,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3f3,663718.9518,5883458.201,Meota,541,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3ee,663705.4596,5884320.499,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3ef,663718.9518,5883362.391,Meota,541,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3e9,663705.4596,5884200.736,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3ea,663705.4596,5884224.688,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3eb,663705.4596,5884248.641,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3ec,663705.4596,5884272.594,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3ed,663705.4596,5884296.546,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3e4,663705.4596,5884080.972,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3e5,663705.4596,5884104.925,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3e6,663705.4596,5884128.877,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3e7,663705.4596,5884152.83,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3e8,663705.4596,5884176.783,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3df,663705.4596,5883961.208,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3e0,663705.4596,5883985.161,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3e1,663705.4596,5884009.114,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3e2,663705.4596,5884033.067,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3e3,663705.4596,5884057.019,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3db,663705.4596,5883865.398,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3dc,663705.4596,5883889.35,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
648a313feb9c75b2402dc3dd,663705.4596,5883913.303,Meota,543,"6/14/2023, 3:29:35 PM",1.68678E+12
