Elevation_,x,y
1776.3481,663157.8972880190,5884150.4890938103
1776.5319,663157.6968970957,5884152.5055099819
1776.6434,663157.6011484092,5884154.5262646619
1776.7648,663157.5918530098,5884156.5440585697
1776.8665,663157.5329578280,5884158.5733040851
1776.9518,663157.5226215333,5884160.5960730826
1776.9945,663158.0203761724,5884162.5922538163
1777.0240,663158.5886583636,5884164.5884952135
1777.0732,663158.9440081076,5884166.6064437972
1777.1716,663158.8919929664,5884168.6324717002
1777.1946,663158.5455847080,5884170.6586188879
1777.2011,663158.2163972164,5884172.6870219726
1777.1749,663158.0075970844,5884174.7318789102
1777.1815,663157.8765421262,5884176.7774873031
1777.1979,663158.2709324978,5884178.8026650110
1777.2700,663158.4258744342,5884180.8387383567
1777.3061,663158.6564094144,5884182.8580089789
1777.3291,663158.7915781266,5884184.8919623578
1777.3685,663158.7561311998,5884186.9216714799
1777.4308,663159.0051985590,5884188.9578287248
1777.5030,663159.1672177240,5884190.9769959077
1777.5063,663159.4383193080,5884193.0019888459
1777.5456,663159.5259106632,5884195.0490214862
1777.6211,663159.4700083764,5884197.0986335510
1777.6966,663159.5621039950,5884199.1472668871
1777.6900,663159.4195290726,5884201.1609731466
1777.7589,663158.8139992980,5884203.1220781207
1777.8179,663158.3946679714,5884205.1299341461
1777.9032,663158.0457298032,5884207.1654595509
1777.9623,663157.7466267142,5884209.1806338830
1777.9984,663157.5922369706,5884211.1869236538
1778.0476,663157.4446748234,5884213.2053594636
1778.0509,663157.2978751156,5884215.2309472291
1778.0673,663157.2761107780,5884217.2486512847
1778.1099,663157.2331727890,5884219.2679734007
1778.1559,663157.3767761558,5884221.2845100891
1778.1395,663157.3602738518,5884223.2992755128
1778.1559,663157.3319594926,5884225.3203198230
1778.1756,663157.2811594044,5884227.3342527309
1778.2313,663157.2364392426,5884229.3665415132
1778.2609,663157.0406582530,5884231.3834486529
1778.3134,663156.9626676320,5884233.4142717933
1778.3002,663156.9449193440,5884235.4479233567
1778.3330,663156.9609397226,5884237.4900722001
1778.3494,663157.0118319626,5884239.5437621363
1778.3429,663157.0269960138,5884241.5933419224
1778.3068,663157.0222512610,5884243.6448054714
1778.2641,663156.6593927226,5884245.6816389794
1778.2609,663156.3232762231,5884247.7187140128
1778.2740,663156.6125952856,5884249.7914252663
1778.2969,663156.7396351270,5884251.8454783689
1778.2871,663156.8075367258,5884253.9115493689
1778.2838,663156.7961791498,5884255.9721409371
1778.2609,663156.3819543928,5884257.9955362156
1778.2445,663155.7805691377,5884260.0143471640
1778.2477,663155.3814991362,5884262.0356970476
1778.2281,663155.0613236278,5884264.0693059545
1778.2018,663154.8294705596,5884266.1139357314
1778.2215,663154.7509124374,5884268.1752479216
1778.2674,663154.6065312090,5884270.2283087196
1778.3199,663154.4907878758,5884272.2771104043
1778.3757,663154.6655128794,5884274.3207602706
1778.4380,663155.0567677309,5884276.3727770485
1778.4872,663155.0186842273,5884278.4050690103
1778.5102,663154.9373172360,5884280.4326598067
1778.5266,663155.0346416052,5884282.4733430902
1778.4872,663155.0480390436,5884284.5137327006
1778.4971,663155.0427131812,5884286.5586073110
1778.4872,663155.0578496890,5884288.6089657070
1778.4708,663155.2502318624,5884290.6557771880
1778.4446,663155.2655595068,5884292.6965665221
1778.4249,663155.3133308138,5884294.7394614695
1778.3823,663155.3110866802,5884296.7745313244
1778.3593,663155.0974708044,5884298.7994054817
1778.3035,663154.8615271450,5884300.8283080040
1778.3101,663152.8141085508,5884302.6799106328
1778.3068,663150.6088569568,5884304.8237683820
1778.2904,663148.7420600066,5884307.3177356934
1778.3527,663147.6209660160,5884309.9143389380
1778.4380,663147.0720069954,5884312.4932126729
1778.5135,663146.8298176186,5884315.1316228732
1778.5857,663146.8893549080,5884317.8122510221
1778.6218,663147.1289309775,5884320.6811614335
1778.6677,663147.7089375500,5884323.6409274908
1778.6808,663147.8785825296,5884324.2195624523
1778.6972,663148.0702997386,5884324.7721142303
1778.7235,663148.8004610130,5884326.2639060598
1778.7366,663149.0804633294,5884326.7122363523
1778.7530,663149.3652540836,5884327.1597274356
1778.7924,663149.9576123070,5884328.0591587042
1778.8120,663150.2641510798,5884328.5078349272
1778.9039,663151.6566963774,5884329.9834088907
1778.9334,663152.0069569933,5884330.3371484093
1778.9728,663152.7743005438,5884330.7889162293
1778.9859,663153.1713743784,5884330.8563124230
1778.9498,663153.9598655304,5884331.1396681461
1778.9466,663154.7406584806,5884331.5370011460
1778.9695,663155.1384717334,5884331.4801627100
1778.9203,663155.9444992242,5884331.6460905615
1778.8777,663157.9647121890,5884332.1018376946
1778.8908,663160.0486569600,5884333.3703381401
1778.8973,663162.2133920804,5884334.7746437695
1778.8711,663162.6618476842,5884335.0047920160
1778.8941,663164.4767783994,5884335.7147724451
1778.8777,663164.9624441292,5884335.9054347156
1778.8547,663166.4751606978,5884336.4298804160
1778.8383,663166.9817602017,5884336.5747131659
1778.7694,663169.3869013920,5884336.7472724700
1778.6414,663171.6081773824,5884336.4676454915
1778.4938,663173.7129749554,5884335.9385435749
1778.3298,663175.3363181174,5884334.7146451678
1778.1592,663176.8697666364,5884333.2776943222
1777.9623,663178.5331469154,5884332.0317766406
1777.8114,663179.8979679950,5884330.3904524315
1777.8048,663180.1928684942,5884330.0952904606
1777.7589,663180.8343502452,5884329.5801004255
1777.7064,663181.5828995354,5884329.2008295516
1777.6080,663183.2324443480,5884327.9458692037
1777.4899,663184.7604444867,5884326.5135230981
1777.4407,663186.2804307062,5884325.0507305581
1777.5030,663187.9253761888,5884323.7891572630
1777.5883,663189.9201544654,5884323.0948702730
1777.6309,663191.6670775686,5884322.0183697157
1777.7294,663193.2229068476,5884320.6371890400
1777.8409,663194.8067964326,5884319.2805684246
1777.9984,663196.4159284636,5884317.9643342346
1778.1198,663198.0773399270,5884316.7509796359
1778.2313,663199.7688042989,5884315.5647025649
1778.3166,663201.5302321098,5884314.5113016823
1778.4282,663203.2759502430,5884313.4506862685
1778.5725,663205.0285225634,5884312.3955378244
1778.6742,663206.8587897774,5884311.5238562888
1778.7202,663209.1352630024,5884311.6026477665
1778.7694,663211.1396958954,5884311.0780520393
1778.7924,663212.9133040574,5884310.1357455924
1778.8186,663214.6040893042,5884309.0090194279
1778.8350,663216.2981125158,5884307.9073450705
1778.8416,663218.0299116526,5884306.8461497743
1778.8022,663219.8971850192,5884306.0081332931
1778.7431,663221.8826622270,5884305.3747817287
1778.6677,663223.7061600552,5884304.4460904729
1778.6283,663225.4273724824,5884303.3296448067
1778.5430,663227.1300496876,5884302.1511070421
1778.4676,663228.8875134930,5884301.0687426180
1778.3527,663230.6698384096,5884300.0359935155
1778.2215,663232.6472617586,5884299.3892335277
1778.0640,663234.7980869224,5884299.0114813130
1777.9295,663236.6856426804,5884298.1469932841
1777.8344,663238.1479112566,5884296.6059810398
1777.7622,663239.8690146010,5884295.4574694112
1777.6375,663241.6495226066,5884294.4092968348
1777.5063,663243.4654207641,5884293.3968459396
1777.3652,663245.2334256876,5884292.2984782830
1777.2733,663247.0215470380,5884291.2453335002
1777.1618,663248.9121125548,5884290.3772780783
1777.0404,663250.7459679134,5884289.4164365279
1776.9157,663252.5579213654,5884288.4254553895
1776.8534,663254.3704383898,5884287.4199079936
1776.7943,663256.1261580086,5884286.3438401995
1776.7221,663257.9312033284,5884285.3431616081
1776.6565,663259.7274377944,5884284.3137910226
1776.6008,663261.5170543388,5884283.2720593121
1776.5155,663263.3117522544,5884282.2327280603
1776.4400,663264.8647917616,5884280.8064909037
1776.3842,663266.5260088012,5884279.5643136892
1776.3317,663268.1786135690,5884278.3230686644
1776.2694,663269.7991204774,5884276.9730618456
1776.2267,663271.4729833652,5884275.6647328231
1776.1677,663273.3746775722,5884274.8639831217
1776.1218,663275.4401573668,5884274.4177616965
1776.0365,663277.3800819920,5884273.7012662133
1775.9741,663279.2973496638,5884272.9098450486
1775.9511,663281.1854905342,5884272.0819143727
1775.9183,663283.1964594704,5884271.4625933282
1775.8462,663285.1675286040,5884270.7667575888
1775.8396,663286.7760320838,5884269.4131185459
1775.8035,663288.5247659500,5884268.3339291420
1775.8429,663290.2891259566,5884267.2802133616
1775.8363,663291.9270540762,5884265.9682181850
1775.8396,663293.7517121886,5884265.0457154820
1775.8462,663295.5698642922,5884264.0977168269
1775.8494,663297.3609687306,5884263.0639537768
1775.9511,663299.1382446180,5884262.0189202055
1776.0758,663301.0163368238,5884261.2106967987
1776.1939,663303.2200024758,5884261.0361945517
1776.2136,663305.0385153446,5884260.1131526874
1776.2497,663306.6740733588,5884258.8000794249
1776.3252,663308.4224799352,5884257.7287911354
1776.3875,663310.1878779478,5884256.6704411218
1776.4269,663311.9768007782,5884255.6556488033
1776.4400,663313.9590591746,5884255.0312428754
1776.4006,663316.0377721498,5884254.6260180846
1776.4236,663317.9159009632,5884253.7913023084
1776.4400,663319.8012194912,5884252.9856701735
1776.4334,663321.6454590092,5884252.0790983802
1776.4531,663323.3074627534,5884250.8322898755
1776.4498,663325.0680396692,5884249.7956043556
1776.4498,663327.0074657742,5884249.0844555600
1776.4302,663328.8816813364,5884248.2309047896
1776.4269,663330.7594230266,5884247.3860482834
1776.4400,663332.6109409834,5884246.4844047632
1776.4236,663334.4793260852,5884245.6229747962
1776.4072,663336.0869938700,5884244.2984948698
1776.4072,663337.6517698638,5884242.8692274913
1776.4203,663339.2897416542,5884241.5388770709
1776.4498,663340.9988765140,5884240.3159479750
1776.4564,663342.9010953268,5884239.5655699354
1776.4826,663344.9306264556,5884239.1243884154
1776.5187,663346.8864088086,5884238.4666927522
