_id,batteryVoltage,devEUI,device,humidity,irSignal1,irSignal2,irSignal3,irSignal4,irtemperature,local_datetime,packetVersion,pressure,rssi,sensor,site,snr,soilConductivity,soilDielectric,soilDissolved,soilMoisture,soilSalinity,soilTemperature,status,temperature,timeSeconds,timestamp
636e5a27587d3a910181022f,6.74,0080E115004F5ADE,dc657f4f-429f-42ea-b9ef-218db29a4111,69.74,0,0,0,0,18.79,"11/11/2022, 8:20:22 AM",DYNAMIC_DATA,625,-108,2,Test,7.800000190734863,0,0,0,0,0,0,SOIL_SENSOR_FAULT,20.96,321076,1668176422000
636e5b73587d3a9101810244,7.103,0080E11505090703,f35886c6-ce9f-49a1-89b7-3c8366f4e7b9,59.69,0,0,0,0,0,"11/11/2022, 8:25:54 AM",DYNAMIC_DATA,689.3,-115,5,Test,0.800000011920929,0,0,0,0,0,0,SOIL_SENSOR_FAULT/IR_SENSOR_FAULT,22.89,81416,1668176754000
636e5d26587d3a910181026a,6.947,0080E115004F422E,b4a5b22d-e34c-4550-bf7b-2f8730c1801d,71.95,340650,337967,335682,332915,18.4,"11/11/2022, 8:33:09 AM",DYNAMIC_DATA,615.1,-44,1,Test,8.5,0,0,0,0,0,0,SOIL_SENSOR_FAULT,21.71,322999,1668177189000
636e61a6587d3a910181030f,6.727,0080E115004F5ADE,dc657f4f-429f-42ea-b9ef-218db29a4111,69.74,0,0,0,0,19,"11/11/2022, 8:52:21 AM",DYNAMIC_DATA,625,-108,2,Test,6,0,0,0,0,0,0,SOIL_SENSOR_FAULT,20.96,322995,1668178341000
636e62f6587d3a9101810332,6.947,0080E11505090703,f35886c6-ce9f-49a1-89b7-3c8366f4e7b9,59.69,0,0,0,0,0,"11/11/2022, 8:57:58 AM",DYNAMIC_DATA,689.3,-120,5,Test,0.800000011920929,0,0,0,0,0,0,SOIL_SENSOR_FAULT/IR_SENSOR_FAULT,22.89,83340,1668178678000
636e64a4587d3a910181036e,6.996,0080E115004F422E,b4a5b22d-e34c-4550-bf7b-2f8730c1801d,71.95,340725,338534,335462,333194,22.7,"11/11/2022, 9:05:07 AM",DYNAMIC_DATA,615.1,-44,1,Test,8.800000190734863,0,0,0,0,0,0,SOIL_SENSOR_FAULT,21.71,324918,1668179107000
636e6924587d3a91018103ff,6.731,0080E115004F5ADE,dc657f4f-429f-42ea-b9ef-218db29a4111,69.74,0,0,0,0,19,"11/11/2022, 9:24:19 AM",DYNAMIC_DATA,625,-109,2,Test,8.199999809265137,0,0,0,0,0,0,SOIL_SENSOR_FAULT,20.96,324914,1668180259000
636e6a7a587d3a910181042a,7.182,0080E11505090703,f35886c6-ce9f-49a1-89b7-3c8366f4e7b9,59.69,0,0,0,0,0,"11/11/2022, 9:30:01 AM",DYNAMIC_DATA,689.3,-117,5,Test,0.5,0,0,0,0,0,0,SOIL_SENSOR_FAULT/IR_SENSOR_FAULT,22.89,85263,1668180601000
636e6c23587d3a9101810480,6.964,0080E115004F422E,b4a5b22d-e34c-4550-bf7b-2f8730c1801d,71.95,340342,337514,335354,333634,22.4,"11/11/2022, 9:37:06 AM",DYNAMIC_DATA,615.1,-45,1,Test,7.199999809265137,0,0,0,0,0,0,SOIL_SENSOR_FAULT,21.71,326837,1668181026000
636e70a3587d3a9101810503,6.738,0080E115004F5ADE,dc657f4f-429f-42ea-b9ef-218db29a4111,69.74,0,0,0,0,18.7,"11/11/2022, 9:56:18 AM",DYNAMIC_DATA,625,-109,2,Test,8,0,0,0,0,0,0,SOIL_SENSOR_FAULT,20.96,326833,1668182178000
636e71fe587d3a9101810525,7.141,0080E11505090703,f35886c6-ce9f-49a1-89b7-3c8366f4e7b9,59.69,0,0,0,0,0,"11/11/2022, 10:02:05 AM",DYNAMIC_DATA,689.3,-120,5,Test,1.2000000476837158,0,0,0,0,0,0,SOIL_SENSOR_FAULT/IR_SENSOR_FAULT,22.89,87187,1668182525000
