_id,batteryVoltage,devEUI,device,humidity,irSignal1,irSignal2,irSignal3,irSignal4,irtemperature,local_datetime,packetVersion,pressure,rssi,sensor,site,snr,soilConductivity,soilDielectric,soilDissolved,soilMoisture,soilSalinity,soilTemperature,status,temperature,timeSeconds,timestamp
6381c96194d0b1cc730fa284,7.218,0080E115004F4050,fefcffeb-2f23-4143-bf3d-2fb0b95690b0,71.09,343936,344376,336234,347683,5.1,"11/26/2022, 2:08:00 AM",DYNAMIC_DATA,658.8,-76,3,Test,7.199999809265137,0,0,0,0,0,0,SOIL_SENSOR_FAULT/IR_SENSOR_FAULT,22.27,127245,1669450080000
6381c9e694d0b1cc730fa287,6.987,0080E115004F422E,b4a5b22d-e34c-4550-bf7b-2f8730c1801d,71.95,293018,288536,284101,290278,3.3,"11/26/2022, 2:10:13 AM",DYNAMIC_DATA,615.1,-120,1,Test,-9.199999809265137,542,358.4,396,117.78,7681,0.46,SOIL_SENSOR_FAULT,21.71,219374,1669450213000
6381caea94d0b1cc730fa2ae,7.214,0080E115004F7875,c37b2608-e6eb-43ed-9a98-5aa01caca199,72.37,0,0,0,0,0,"11/26/2022, 2:14:33 AM",DYNAMIC_DATA,639,-71,4,Test,9.5,0,0,0,0,0,0,SOIL_SENSOR_FAULT/IR_SENSOR_FAULT,22.51,127245,1669450473000
6381cbdf94d0b1cc730fa2bd,6.979,0080E11505090703,f35886c6-ce9f-49a1-89b7-3c8366f4e7b9,59.69,346202,343086,335973,356038,136.89,"11/26/2022, 2:18:38 AM",DYNAMIC_DATA,689.3,-116,5,Test,-1.5,0,0,0,0,0,0,SOIL_SENSOR_FAULT,22.89,29400,1669450718000
6381cc6294d0b1cc730fa2cd,6.885,0080E115004F5ADE,dc657f4f-429f-42ea-b9ef-218db29a4111,69.74,344517,345175,321829,353173,2.8,"11/26/2022, 2:20:50 AM",DYNAMIC_DATA,625,-115,2,Test,2.799999952316284,0,0,0,0,0,0,SOIL_SENSOR_FAULT,20.96,296143,1669450850000
6381ce1494d0b1cc730fa2ff,7.222,0080E115004F7F6F,1c356334-2a3c-4cfc-a074-a8889014c852,77.61,313126,311261,353842,312876,20.6,"11/26/2022, 2:28:03 AM",DYNAMIC_DATA,653.7,-75,6,Test,9.199999809265137,0,0,0,0,0,0,SOIL_SENSOR_FAULT,21.79,127264,1669451283000
6381d0e094d0b1cc730fa341,7.013,0080E115004F4050,fefcffeb-2f23-4143-bf3d-2fb0b95690b0,71.09,343936,344376,336234,347683,5.1,"11/26/2022, 2:39:58 AM",DYNAMIC_DATA,658.8,-80,3,Test,8.800000190734863,0,0,0,0,0,0,SOIL_SENSOR_FAULT/IR_SENSOR_FAULT,22.27,129164,1669451998000
6381d17794d0b1cc730fa35b,7.094,0080E115004F422E,b4a5b22d-e34c-4550-bf7b-2f8730c1801d,71.95,292669,285147,286336,282316,2.7,"11/26/2022, 2:42:30 AM",DYNAMIC_DATA,615.1,-120,1,Test,-6,535,350.72,393,128.02,5889,0.5,SOIL_SENSOR_FAULT,21.71,221293,1669452150000
6381d26994d0b1cc730fa36e,7.047,0080E115004F7875,c37b2608-e6eb-43ed-9a98-5aa01caca199,72.37,0,0,0,0,0,"11/26/2022, 2:46:32 AM",DYNAMIC_DATA,639,-71,4,Test,9.800000190734863,0,0,0,0,0,0,SOIL_SENSOR_FAULT/IR_SENSOR_FAULT,22.51,129163,1669452392000
6381d35e94d0b1cc730fa387,7.007,0080E11505090703,f35886c6-ce9f-49a1-89b7-3c8366f4e7b9,59.69,346695,343314,337956,355987,136.6,"11/26/2022, 2:50:37 AM",DYNAMIC_DATA,689.3,-118,5,Test,-0.5,0,0,0,0,0,0,SOIL_SENSOR_FAULT,22.89,31319,1669452637000
